zone,date,PM2.5,PM10,NO2,SO2,CO,O3,temp,humidity,wind_speed,AQI,AQI_category,dominant_pollutant
Jahangirpuri,2026-07-13,65.5,279.8,20.4,10.9,0.88,10.47,34.1,59.7,1.6,230.0,Poor,PM10
Jahangirpuri,2026-07-14,64.9,282.8,24.3,7.6,0.85,6.79,33.8,61.0,1.2,233.0,Poor,PM10
Jahangirpuri,2026-07-15,62.2,249.5,24.0,10.5,0.99,7.75,34.5,57.1,1.2,200.0,Moderate,PM10
Jahangirpuri,2026-07-16,65.0,279.3,24.7,9.4,0.95,7.49,35.5,54.6,1.5,229.0,Poor,PM10
Jahangirpuri,2026-07-17,59.6,285.7,35.9,10.3,1.23,6.71,35.4,54.7,1.0,236.0,Poor,PM10
Jahangirpuri,2026-07-18,62.4,241.2,24.8,9.9,1.12,6.97,34.4,57.8,1.0,194.0,Moderate,PM10
Jahangirpuri,2026-07-19,66.5,237.0,21.9,9.7,1.07,7.36,34.5,60.0,0.8,500.0,Severe,CO
Jahangirpuri,2026-07-20,69.2,167.5,19.4,8.5,0.98,8.28,31.4,81.2,0.9,145.0,Moderate,PM10
Jahangirpuri,2026-07-21,53.5,98.0,25.4,9.7,0.8,12.8,28.8,90.8,0.3,98.0,Satisfactory,PM10
Mundka,2026-06-06,53.9,266.0,93.1,12.2,1.88,21.61,35.1,49.9,0.5,216.0,Poor,PM10
Mundka,2026-06-07,23.1,167.7,85.5,6.7,0.79,17.72,34.7,49.4,0.6,145.0,Moderate,PM10
Mundka,2026-06-08,25.8,157.7,84.4,8.2,0.8,9.84,33.0,53.7,0.8,139.0,Moderate,PM10
Mundka,2026-06-09,35.0,281.2,85.7,8.9,0.73,25.19,38.2,37.0,1.1,231.0,Poor,PM10
Mundka,2026-06-10,32.7,219.3,86.5,7.8,0.79,16.15,36.6,44.0,0.8,180.0,Moderate,PM10
Mundka,2026-06-11,33.4,188.8,71.0,11.6,0.89,22.06,34.6,50.0,1.6,159.0,Moderate,PM10
Mundka,2026-06-12,20.3,88.9,68.4,8.2,0.95,18.64,31.8,60.2,1.9,89.0,Satisfactory,PM10
Mundka,2026-06-13,41.0,185.5,85.2,6.2,0.96,34.26,32.1,59.2,0.7,157.0,Moderate,PM10
Mundka,2026-06-14,58.4,202.0,94.2,10.2,1.07,23.49,34.4,52.7,0.2,500.0,Severe,CO
Mundka,2026-06-15,26.9,200.6,85.5,6.5,0.83,12.93,32.4,52.4,0.2,167.0,Moderate,PM10
Mundka,2026-06-16,45.6,78.2,79.1,9.6,1.04,15.14,31.1,59.8,0.2,500.0,Severe,CO
Mundka,2026-06-17,46.3,140.9,83.7,11.6,0.85,25.55,33.4,54.6,0.3,128.0,Moderate,PM10
Mundka,2026-06-18,79.5,259.2,83.2,20.6,1.21,17.91,34.4,52.5,0.3,209.0,Poor,PM10
Mundka,2026-06-19,38.7,197.8,70.0,12.5,0.78,18.55,34.4,50.2,0.3,165.0,Moderate,PM10
Mundka,2026-06-20,53.8,204.5,81.4,13.1,0.95,17.25,35.2,48.6,0.3,170.0,Moderate,PM10
Mundka,2026-06-21,36.6,141.6,73.1,11.6,0.85,14.26,34.0,52.1,0.3,128.0,Moderate,PM10
Mundka,2026-06-22,29.5,260.4,83.8,10.9,0.82,16.43,33.9,48.4,0.3,210.0,Poor,PM10
Mundka,2026-06-23,76.3,261.7,88.0,22.5,1.19,17.54,33.6,51.6,0.3,212.0,Poor,PM10
Mundka,2026-06-24,35.8,155.0,84.7,9.5,0.95,13.4,34.3,53.8,0.3,137.0,Moderate,PM10
Mundka,2026-06-25,38.7,194.4,115.7,10.8,0.87,11.8,34.6,50.1,0.3,163.0,Moderate,PM10
Mundka,2026-06-26,26.2,133.0,100.5,8.7,0.74,16.62,34.6,53.2,0.3,122.0,Moderate,PM10
Mundka,2026-06-27,49.1,178.8,108.2,10.9,0.97,17.75,35.8,52.4,0.3,153.0,Moderate,PM10
Mundka,2026-06-28,41.0,180.9,108.6,2.9,0.92,21.2,36.1,50.3,0.3,154.0,Moderate,PM10
Mundka,2026-06-29,43.6,201.5,104.9,5.1,0.87,12.47,36.2,49.6,0.3,168.0,Moderate,PM10
Mundka,2026-06-30,39.6,247.0,94.4,3.4,0.85,8.46,35.9,49.6,0.3,198.0,Moderate,PM10
Mundka,2026-07-01,35.6,118.0,103.5,3.6,0.91,12.78,33.1,62.9,0.3,124.0,Moderate,NO2
Mundka,2026-07-02,34.4,101.3,83.6,5.1,0.99,17.35,31.5,70.8,0.3,104.0,Moderate,NO2
Mundka,2026-07-03,41.4,94.7,72.5,5.7,0.94,18.38,33.9,63.7,0.3,95.0,Satisfactory,PM10
Mundka,2026-07-04,67.2,159.6,84.6,7.3,1.28,10.72,33.2,67.1,0.3,140.0,Moderate,PM10
Mundka,2026-07-05,67.0,125.2,84.9,11.6,1.8,6.81,32.1,75.2,0.3,121.0,Moderate,PM2.5
Mundka,2026-07-06,78.2,120.7,81.6,8.1,1.48,15.32,34.5,63.9,0.3,160.0,Moderate,PM2.5
Mundka,2026-07-07,40.2,71.2,77.0,12.7,1.11,6.49,32.0,75.5,0.3,96.0,Satisfactory,NO2
Mundka,2026-07-08,27.6,45.5,67.9,9.1,1.01,2.91,30.1,85.3,0.3,500.0,Severe,CO
Mundka,2026-07-09,11.6,28.2,66.2,6.5,0.86,4.86,30.7,80.5,0.3,83.0,Satisfactory,NO2
Mundka,2026-07-10,21.5,66.8,68.2,4.0,0.85,8.03,32.5,71.4,0.3,85.0,Satisfactory,NO2
Mundka,2026-07-11,41.7,254.8,72.4,3.6,0.84,6.92,33.5,65.0,0.3,205.0,Poor,PM10
Mundka,2026-07-12,59.4,413.0,69.0,3.0,0.93,6.09,34.4,61.5,0.3,379.0,Very Poor,PM10
Mundka,2026-07-13,41.5,185.9,59.0,4.3,0.78,8.72,34.7,57.4,0.3,157.0,Moderate,PM10
Mundka,2026-07-14,37.5,215.7,67.2,7.3,0.82,7.99,34.2,60.1,0.3,177.0,Moderate,PM10
Mundka,2026-07-15,36.9,207.5,68.2,6.2,0.8,8.95,34.8,57.3,0.3,172.0,Moderate,PM10
Mundka,2026-07-16,47.6,256.5,67.5,7.7,0.86,9.47,35.9,53.2,0.3,206.0,Poor,PM10
Mundka,2026-07-17,53.1,294.4,72.2,20.6,0.99,7.1,35.7,53.4,0.7,244.0,Poor,PM10
Mundka,2026-07-18,43.4,247.2,67.9,4.0,0.93,7.62,35.3,54.6,0.6,198.0,Moderate,PM10
Mundka,2026-07-19,43.2,199.5,65.5,4.0,0.88,8.84,35.3,55.7,0.8,166.0,Moderate,PM10
Mundka,2026-07-20,40.2,147.3,63.5,1.9,0.95,4.67,32.6,70.6,0.9,132.0,Moderate,PM10
Mundka,2026-07-21,41.5,111.0,73.2,1.6,1.1,1.8,30.5,82.6,0.8,108.0,Moderate,PM10
Narela,2026-06-06,86.7,230.2,20.6,20.6,0.93,14.8,35.2,49.2,0.4,189.0,Moderate,PM2.5
Narela,2026-06-07,64.3,205.8,10.1,16.1,0.64,19.0,36.9,41.1,0.7,171.0,Moderate,PM10
Narela,2026-06-08,52.9,163.0,9.2,19.5,0.66,8.1,33.4,49.3,0.6,142.0,Moderate,PM10
Narela,2026-06-09,76.5,333.1,6.8,8.2,0.59,29.8,38.6,34.4,1.0,283.0,Poor,PM10
Narela,2026-06-10,66.8,233.8,11.3,8.7,0.61,19.02,36.1,44.8,0.9,189.0,Moderate,PM10
Narela,2026-06-11,57.3,180.4,13.2,6.1,0.66,25.23,34.6,49.5,1.5,154.0,Moderate,PM10
Narela,2026-06-12,22.5,57.7,10.2,6.2,0.75,26.12,31.2,62.8,2.1,58.0,Satisfactory,PM10
Narela,2026-06-13,43.2,133.1,15.0,8.9,0.82,29.12,32.0,58.0,0.5,122.0,Moderate,PM10
Narela,2026-06-14,83.3,241.7,21.3,15.3,0.9,21.84,34.2,50.5,0.5,194.0,Moderate,PM10
Narela,2026-06-15,57.2,168.3,17.0,10.5,0.72,15.8,32.9,47.7,1.1,146.0,Moderate,PM10
Narela,2026-06-16,32.9,109.8,19.6,9.3,0.77,12.86,31.0,56.9,0.8,107.0,Moderate,PM10
Narela,2026-06-17,36.2,118.5,12.4,17.8,0.75,22.99,33.3,51.3,0.5,113.0,Moderate,PM10
Narela,2026-06-18,58.2,191.6,13.9,18.6,0.94,18.83,34.4,49.5,0.7,161.0,Moderate,PM10
Narela,2026-06-19,52.4,170.3,12.2,15.3,0.7,28.51,34.3,48.3,0.7,147.0,Moderate,PM10
Narela,2026-06-20,57.0,168.7,14.7,19.9,0.75,20.6,35.3,46.6,1.0,146.0,Moderate,PM10
Narela,2026-06-21,45.1,132.5,12.7,12.7,0.67,16.84,34.5,47.9,0.9,122.0,Moderate,PM10
Narela,2026-06-22,48.6,300.7,15.7,12.6,0.69,18.64,33.9,45.7,0.9,251.0,Poor,PM10
Narela,2026-06-23,74.0,217.6,20.8,22.7,0.77,18.25,34.2,46.4,0.7,178.0,Moderate,PM10
Narela,2026-06-24,50.5,153.5,20.6,12.0,0.73,37.96,34.7,48.4,0.8,136.0,Moderate,PM10
Narela,2026-06-25,68.8,206.1,23.3,18.1,0.91,6.34,34.7,48.4,0.6,171.0,Moderate,PM10
Narela,2026-06-26,38.7,123.0,17.0,10.6,0.78,7.77,35.2,49.6,0.9,116.0,Moderate,PM10
Narela,2026-06-27,58.0,173.9,19.5,13.2,0.95,5.73,35.9,51.2,0.7,149.0,Moderate,PM10
Narela,2026-06-28,57.8,182.5,20.8,11.8,0.89,3.0,35.8,50.6,0.6,155.0,Moderate,PM10
Narela,2026-06-29,59.1,197.6,21.3,12.0,0.9,8.01,36.3,49.3,0.8,165.0,Moderate,PM10
Narela,2026-06-30,68.5,234.2,17.1,10.0,0.9,9.71,35.4,53.3,0.9,190.0,Moderate,PM10
Narela,2026-07-01,30.1,97.5,16.2,8.7,0.88,9.93,32.2,68.5,1.1,500.0,Severe,PM2.5
Narela,2026-07-02,37.9,109.3,17.4,10.3,0.97,11.8,31.6,69.9,0.6,107.0,Moderate,PM10
Narela,2026-07-03,48.4,126.9,16.0,7.9,1.1,13.56,33.6,66.5,0.5,118.0,Moderate,PM10
Narela,2026-07-04,92.8,181.5,21.8,8.0,1.4,7.9,32.8,73.5,0.4,207.0,Poor,PM2.5
Narela,2026-07-05,72.6,135.8,24.9,11.5,1.07,8.18,31.9,79.1,0.5,500.0,Severe,CO
Narela,2026-07-06,47.9,121.7,16.5,12.0,0.86,9.35,34.1,64.5,0.5,115.0,Moderate,PM10
Narela,2026-07-07,36.9,93.8,17.0,11.3,0.78,8.25,32.0,74.4,0.4,94.0,Satisfactory,PM10
Narela,2026-07-08,28.5,64.5,11.9,10.7,0.8,7.87,30.3,83.8,0.4,64.0,Satisfactory,PM10
Narela,2026-07-09,19.9,71.3,14.0,15.9,1.1,8.97,30.5,79.8,0.5,71.0,Satisfactory,PM10
Narela,2026-07-10,21.5,72.6,11.7,14.3,1.26,29.55,32.3,70.8,0.3,73.0,Satisfactory,PM10
Narela,2026-07-11,43.5,252.0,14.7,12.7,1.65,18.8,33.3,67.4,0.3,202.0,Poor,PM10
Narela,2026-07-12,61.0,410.5,13.7,12.1,1.14,21.36,34.4,60.4,0.3,376.0,Very Poor,PM10
Narela,2026-07-13,33.6,195.5,11.2,12.6,0.98,30.34,34.2,59.6,0.5,164.0,Moderate,PM10
Narela,2026-07-14,32.3,165.8,10.9,11.7,0.85,15.54,33.6,63.9,0.4,144.0,Moderate,PM10
Narela,2026-07-15,38.0,182.0,16.7,12.7,0.89,22.14,34.2,60.4,0.3,155.0,Moderate,PM10
Narela,2026-07-16,47.6,234.2,15.5,10.3,0.72,28.57,35.6,54.6,0.3,190.0,Moderate,PM10
Narela,2026-07-17,51.1,235.7,22.0,13.3,0.89,35.9,35.1,55.7,0.3,190.0,Moderate,PM10
Narela,2026-07-18,44.6,220.8,21.3,10.1,0.94,31.52,34.8,56.0,0.3,181.0,Moderate,PM10
Narela,2026-07-19,53.5,203.3,15.7,10.2,0.9,28.68,35.0,58.2,0.3,169.0,Moderate,PM10
Narela,2026-07-20,49.7,134.2,12.4,7.1,0.84,15.84,32.1,75.8,0.3,123.0,Moderate,PM10
Narela,2026-07-21,16.0,46.0,7.1,9.1,0.3,6.4,29.8,85.2,0.3,46.0,Good,PM10
Okhla,2026-06-06,39.7,215.4,19.8,6.9,0.79,56.9,35.1,44.5,0.8,177.0,Moderate,PM10
Okhla,2026-06-07,33.1,204.9,24.6,9.0,0.73,42.91,34.6,45.2,0.7,170.0,Moderate,PM10
Okhla,2026-06-08,26.9,161.3,22.4,8.1,0.64,25.29,32.2,51.9,0.6,141.0,Moderate,PM10
Okhla,2026-06-09,31.4,258.2,20.8,7.2,0.67,54.47,36.9,38.0,1.1,208.0,Poor,PM10
Okhla,2026-06-10,37.5,211.1,31.5,7.3,0.99,38.43,34.2,51.0,0.6,174.0,Moderate,PM10
Okhla,2026-06-11,32.5,123.2,14.6,9.8,0.79,43.69,33.3,51.5,1.4,116.0,Moderate,PM10
Okhla,2026-06-12,26.9,62.3,13.3,12.7,0.78,36.1,29.0,68.9,1.6,62.0,Satisfactory,PM10
Okhla,2026-06-13,36.0,105.6,26.0,13.1,0.64,76.19,30.4,62.0,0.8,104.0,Moderate,PM10
Okhla,2026-06-14,52.0,192.1,34.0,9.6,0.77,61.37,32.8,54.0,0.6,162.0,Moderate,PM10
Okhla,2026-06-15,28.6,170.3,26.8,10.5,0.96,42.24,31.4,50.0,1.1,147.0,Moderate,PM10
Okhla,2026-06-16,37.2,155.9,37.8,10.1,1.15,38.48,29.6,58.3,0.6,137.0,Moderate,PM10
Okhla,2026-06-17,28.4,120.9,33.9,7.7,1.16,57.71,31.7,52.5,0.6,114.0,Moderate,PM10
Okhla,2026-06-18,43.9,180.7,34.3,11.2,0.83,53.27,33.2,49.8,0.7,154.0,Moderate,PM10
Okhla,2026-06-19,27.5,153.5,26.1,8.3,0.83,43.37,33.1,47.9,0.6,136.0,Moderate,PM10
Okhla,2026-06-20,37.5,155.1,30.2,6.6,0.7,40.16,33.9,46.8,0.6,137.0,Moderate,PM10
Okhla,2026-06-21,26.0,125.7,22.2,6.0,0.37,31.07,34.5,43.0,0.5,117.0,Moderate,PM10
Okhla,2026-06-22,24.4,153.6,26.2,2.6,0.92,43.44,34.6,41.6,0.8,136.0,Moderate,PM10
Okhla,2026-06-23,44.2,179.2,39.5,6.6,0.9,44.8,32.5,49.4,0.6,153.0,Moderate,PM10
Okhla,2026-06-24,31.7,133.7,28.1,3.8,0.82,49.14,33.0,50.7,0.7,123.0,Moderate,PM10
Okhla,2026-06-25,40.1,160.4,37.6,4.4,1.23,45.75,33.2,50.4,0.6,140.0,Moderate,PM10
Okhla,2026-06-26,36.0,154.9,31.8,8.1,0.72,32.05,34.0,47.6,0.7,137.0,Moderate,PM10
Okhla,2026-06-27,42.8,170.2,27.7,11.2,0.89,64.22,34.6,47.8,0.6,147.0,Moderate,PM10
Okhla,2026-06-28,52.2,185.3,20.9,10.2,0.95,58.99,34.8,48.3,0.8,157.0,Moderate,PM10
Okhla,2026-06-29,38.4,180.5,18.6,8.4,0.72,39.48,34.9,47.2,0.6,154.0,Moderate,PM10
Okhla,2026-06-30,46.9,221.2,18.8,8.8,0.75,34.88,33.3,54.7,0.9,181.0,Moderate,PM10
Okhla,2026-07-01,30.9,102.1,15.1,8.2,0.71,23.62,31.3,63.6,0.8,500.0,Severe,PM2.5
Okhla,2026-07-02,32.6,96.9,22.0,7.5,1.06,54.04,30.2,68.2,0.5,500.0,Severe,CO
Okhla,2026-07-03,44.8,108.5,16.4,7.5,0.8,33.2,31.4,68.0,0.8,106.0,Moderate,PM10
Okhla,2026-07-04,59.5,138.1,24.3,9.2,0.99,24.83,31.7,66.8,0.7,126.0,Moderate,PM10
Okhla,2026-07-05,56.1,133.5,26.0,8.7,1.32,17.21,30.7,74.8,0.6,123.0,Moderate,PM10
Okhla,2026-07-06,34.1,89.9,16.3,7.5,0.68,36.86,32.6,63.9,0.7,90.0,Satisfactory,PM10
Okhla,2026-07-07,34.8,90.8,23.8,8.2,1.01,25.83,30.2,77.5,0.8,500.0,Severe,CO
Okhla,2026-07-08,32.0,47.3,20.9,8.1,0.75,16.41,28.5,89.7,0.6,53.0,Satisfactory,PM2.5
Okhla,2026-07-09,11.9,22.1,16.9,8.2,0.59,16.41,28.2,89.9,1.3,30.0,Good,CO
Okhla,2026-07-10,23.5,70.2,22.2,3.8,0.75,33.47,31.2,68.5,1.0,70.0,Satisfactory,PM10
Okhla,2026-07-11,36.2,233.6,30.2,3.7,0.96,22.4,31.5,67.5,0.4,189.0,Moderate,PM10
Okhla,2026-07-12,45.8,348.5,25.4,3.5,0.99,21.95,32.3,62.9,0.5,298.0,Poor,PM10
Okhla,2026-07-13,36.6,185.9,22.6,3.9,0.85,29.5,33.1,56.7,0.5,157.0,Moderate,PM10
Okhla,2026-07-14,34.9,201.1,23.6,6.1,0.64,30.74,32.5,57.0,0.7,168.0,Moderate,PM10
Okhla,2026-07-15,34.5,173.3,26.0,14.2,0.79,31.59,32.9,55.8,0.5,149.0,Moderate,PM10
Okhla,2026-07-16,41.0,211.2,26.7,16.3,1.01,30.76,33.8,52.3,0.6,500.0,Severe,CO
Okhla,2026-07-17,51.2,240.2,35.7,8.6,1.11,66.64,33.5,55.1,0.7,193.0,Moderate,PM10
Okhla,2026-07-18,46.6,202.5,31.8,7.0,1.27,28.75,32.9,56.3,0.5,168.0,Moderate,PM10
Okhla,2026-07-19,54.9,199.1,23.1,8.2,0.22,14.99,32.1,63.3,0.6,166.0,Moderate,PM10
Okhla,2026-07-20,36.4,94.0,17.3,12.3,0.65,6.14,29.1,83.1,0.9,94.0,Satisfactory,PM10
Okhla,2026-07-21,24.5,85.0,25.8,11.4,0.5,8.2,28.4,86.1,0.6,85.0,Satisfactory,PM10
Punjabi Bagh,2026-06-06,56.9,220.2,25.5,21.2,1.59,59.39,35.0,48.0,0.8,180.0,Moderate,PM10
Punjabi Bagh,2026-06-07,31.4,171.8,14.4,19.8,1.84,48.99,35.8,44.2,1.1,148.0,Moderate,PM10
Punjabi Bagh,2026-06-08,28.3,136.4,13.4,19.0,0.89,31.48,34.8,47.9,1.0,125.0,Moderate,PM10
Punjabi Bagh,2026-06-09,36.8,293.5,15.3,37.3,1.37,61.66,37.3,33.8,1.8,244.0,Poor,PM10
Punjabi Bagh,2026-06-10,39.9,206.0,22.6,36.2,1.06,40.59,36.2,43.9,1.3,500.0,Severe,CO
Punjabi Bagh,2026-06-11,34.9,150.4,23.1,34.0,0.94,48.34,31.0,47.5,1.6,134.0,Moderate,PM10
Punjabi Bagh,2026-06-12,22.6,72.7,18.5,35.2,1.4,45.19,34.6,62.1,1.6,73.0,Satisfactory,PM10
Punjabi Bagh,2026-06-13,36.8,132.2,24.4,22.9,1.2,75.09,34.7,58.8,0.7,122.0,Moderate,PM10
Punjabi Bagh,2026-06-14,63.4,187.3,21.7,9.1,0.76,59.46,37.2,49.9,0.7,158.0,Moderate,PM10
Punjabi Bagh,2026-06-15,55.3,149.6,31.8,31.1,1.4,23.58,34.0,47.8,0.6,133.0,Moderate,PM10
Punjabi Bagh,2026-06-16,41.7,124.9,28.1,24.5,2.47,36.28,34.0,52.9,0.8,117.0,Moderate,PM10
Punjabi Bagh,2026-06-17,43.7,121.8,20.3,29.9,2.55,59.0,35.8,49.2,0.6,115.0,Moderate,PM10
Punjabi Bagh,2026-06-18,78.0,218.4,18.2,30.4,3.36,42.02,36.6,47.7,0.7,179.0,Moderate,PM10
Punjabi Bagh,2026-06-19,43.2,174.2,17.2,32.9,0.77,54.85,35.9,47.0,0.9,150.0,Moderate,PM10
Punjabi Bagh,2026-06-20,68.3,171.1,28.9,36.9,0.91,45.09,36.3,46.8,0.7,148.0,Moderate,PM10
Punjabi Bagh,2026-06-21,58.0,154.2,13.9,30.1,0.63,38.94,36.0,47.8,1.2,136.0,Moderate,PM10
Punjabi Bagh,2026-06-22,47.3,257.0,21.3,43.4,1.85,43.08,34.2,44.3,0.8,207.0,Poor,PM10
Punjabi Bagh,2026-06-23,74.8,194.7,27.5,33.4,0.9,61.04,35.9,46.2,1.1,163.0,Moderate,PM10
Punjabi Bagh,2026-06-24,35.3,119.9,19.0,29.1,1.31,60.04,36.7,50.9,1.0,114.0,Moderate,PM10
Punjabi Bagh,2026-06-25,46.9,164.2,32.4,30.5,0.89,46.48,26.5,49.0,1.0,143.0,Moderate,PM10
Punjabi Bagh,2026-06-26,29.9,117.8,19.3,28.7,1.38,55.39,18.9,50.3,0.5,112.0,Moderate,PM10
Punjabi Bagh,2026-06-27,54.9,181.5,22.7,33.2,1.11,65.24,18.1,47.7,0.5,154.0,Moderate,PM10
Punjabi Bagh,2026-06-28,50.4,159.8,22.0,33.2,0.85,71.67,17.6,45.3,0.6,140.0,Moderate,PM10
Punjabi Bagh,2026-06-29,49.1,179.9,19.2,30.5,0.84,46.12,20.7,44.9,0.7,153.0,Moderate,PM10
Punjabi Bagh,2026-06-30,53.1,235.2,22.0,31.5,0.8,41.2,37.5,46.1,1.0,190.0,Moderate,PM10
Punjabi Bagh,2026-07-01,43.1,133.2,25.4,33.0,0.75,22.68,35.0,65.1,0.7,122.0,Moderate,PM10
Punjabi Bagh,2026-07-02,43.0,109.9,21.3,33.1,1.12,54.04,32.6,68.5,0.7,107.0,Moderate,PM10
Punjabi Bagh,2026-07-03,44.0,114.2,20.1,36.6,0.8,49.98,31.0,63.4,0.7,110.0,Moderate,PM10
Punjabi Bagh,2026-07-04,63.4,149.3,27.8,32.8,1.45,23.59,29.6,71.0,0.5,133.0,Moderate,PM10
Punjabi Bagh,2026-07-05,83.8,192.0,32.0,29.5,1.4,18.12,31.2,75.5,0.4,179.0,Moderate,PM2.5
Punjabi Bagh,2026-07-06,49.2,136.0,26.6,33.7,1.31,57.86,35.4,65.8,0.5,124.0,Moderate,PM10
Punjabi Bagh,2026-07-07,49.3,126.4,26.9,34.6,1.12,37.03,34.2,75.5,0.7,118.0,Moderate,PM10
Punjabi Bagh,2026-07-08,26.5,67.0,23.7,30.5,1.08,10.43,33.1,81.6,0.4,500.0,Severe,CO
Punjabi Bagh,2026-07-09,10.9,45.8,16.0,29.9,1.09,26.6,33.6,81.4,0.7,500.0,Severe,CO
Punjabi Bagh,2026-07-10,23.8,85.8,17.1,51.1,1.23,29.94,33.0,68.8,0.6,86.0,Satisfactory,PM10
Punjabi Bagh,2026-07-11,61.7,261.1,18.1,33.6,1.0,8.83,32.7,68.5,0.8,211.0,Poor,PM10
Punjabi Bagh,2026-07-12,80.6,404.0,15.2,31.0,1.43,5.45,36.6,,0.9,367.0,Very Poor,PM10
Punjabi Bagh,2026-07-13,43.2,185.8,14.3,32.0,2.0,5.4,36.6,,0.8,157.0,Moderate,PM10
Punjabi Bagh,2026-07-14,43.8,187.4,16.3,31.0,1.52,5.62,36.6,,1.1,158.0,Moderate,PM10
Punjabi Bagh,2026-07-15,43.5,169.2,16.7,29.8,0.73,9.07,36.6,,0.6,146.0,Moderate,PM10
Punjabi Bagh,2026-07-16,54.9,213.2,18.9,30.5,0.73,21.39,36.4,51.0,0.8,176.0,Moderate,PM10
Punjabi Bagh,2026-07-17,53.3,203.0,28.8,18.4,1.04,31.52,36.6,50.5,0.6,500.0,Severe,CO
Punjabi Bagh,2026-07-18,49.5,189.0,22.0,26.9,1.09,31.9,23.7,53.2,0.6,500.0,Severe,CO
Punjabi Bagh,2026-07-19,52.7,178.3,20.7,33.8,1.31,37.61,13.2,,0.6,152.0,Moderate,PM10
Punjabi Bagh,2026-07-20,41.9,117.3,19.1,36.2,1.39,18.75,13.4,,1.2,112.0,Moderate,PM10
Punjabi Bagh,2026-07-21,41.0,73.0,20.1,27.2,1.3,12.9,13.1,,0.3,73.0,Satisfactory,PM10
RK Puram,2026-06-06,49.3,204.5,37.7,14.6,1.38,13.06,33.9,51.6,0.9,170.0,Moderate,PM10
RK Puram,2026-06-07,32.1,152.7,33.4,12.0,1.1,11.66,33.5,49.0,0.9,135.0,Moderate,PM10
RK Puram,2026-06-08,31.6,153.1,31.5,10.6,0.64,8.24,32.8,54.0,0.9,136.0,Moderate,PM10
RK Puram,2026-06-09,32.3,238.8,19.0,24.6,0.44,45.96,37.5,36.3,1.8,193.0,Moderate,PM10
RK Puram,2026-06-10,38.2,170.4,27.1,33.6,1.15,27.86,34.7,47.2,1.3,147.0,Moderate,PM10
RK Puram,2026-06-11,35.6,124.4,24.5,31.3,0.74,35.56,33.5,51.2,1.9,117.0,Moderate,PM10
RK Puram,2026-06-12,23.5,56.4,13.4,23.6,0.57,21.46,30.2,68.3,2.3,56.0,Satisfactory,PM10
RK Puram,2026-06-13,40.8,113.0,34.5,15.2,1.49,43.46,30.2,67.3,0.7,109.0,Moderate,PM10
RK Puram,2026-06-14,95.0,193.9,67.8,8.3,1.2,12.2,30.8,69.3,0.4,215.0,Poor,PM2.5
RK Puram,2026-06-15,35.1,234.0,28.9,12.7,0.71,26.09,31.5,54.2,1.1,189.0,Moderate,PM10
RK Puram,2026-06-16,40.9,114.9,39.8,11.2,1.33,17.54,29.3,68.2,0.7,110.0,Moderate,PM10
RK Puram,2026-06-17,33.3,114.2,39.0,22.6,1.7,39.63,31.9,57.0,0.6,110.0,Moderate,PM10
RK Puram,2026-06-18,56.2,186.5,53.6,16.7,0.53,52.58,33.1,56.6,0.9,158.0,Moderate,PM10
RK Puram,2026-06-19,31.0,176.9,35.1,18.5,1.11,45.86,32.9,52.8,0.9,151.0,Moderate,PM10
RK Puram,2026-06-20,47.9,186.5,42.5,26.4,0.61,43.96,33.9,51.4,0.8,158.0,Moderate,PM10
RK Puram,2026-06-21,29.3,115.2,33.2,25.7,0.43,24.91,32.7,54.3,1.4,110.0,Moderate,PM10
RK Puram,2026-06-22,28.3,293.2,39.3,52.8,0.51,42.34,32.6,49.8,1.0,243.0,Poor,PM10
RK Puram,2026-06-23,50.9,175.2,52.9,15.4,0.75,49.69,32.0,59.3,0.9,150.0,Moderate,PM10
RK Puram,2026-06-24,30.1,113.2,43.5,63.2,0.7,59.08,31.9,62.2,0.7,500.0,Severe,PM2.5
RK Puram,2026-06-25,36.8,150.5,42.6,45.1,0.56,67.15,34.1,53.7,0.7,134.0,Moderate,PM10
RK Puram,2026-06-26,29.9,103.0,44.2,44.0,0.49,21.79,32.6,59.8,0.7,102.0,Moderate,PM10
RK Puram,2026-06-27,46.2,169.3,37.2,18.9,0.64,58.26,34.9,51.9,0.7,146.0,Moderate,PM10
RK Puram,2026-06-28,57.8,196.4,41.5,40.0,0.78,70.25,35.0,52.2,0.6,164.0,Moderate,PM10
RK Puram,2026-06-29,42.0,185.3,39.1,55.8,0.57,50.04,35.1,50.5,0.8,500.0,Severe,O3
RK Puram,2026-06-30,39.9,220.1,28.2,30.2,0.42,21.11,33.7,57.0,0.8,180.0,Moderate,PM10
RK Puram,2026-07-01,34.8,110.9,23.6,32.8,0.61,26.57,31.8,70.1,1.0,108.0,Moderate,PM10
RK Puram,2026-07-02,38.8,98.9,32.0,35.6,0.95,60.71,30.2,77.2,0.6,99.0,Satisfactory,PM10
RK Puram,2026-07-03,60.9,96.4,26.2,27.2,0.76,27.29,31.9,75.2,0.7,500.0,Severe,PM2.5
RK Puram,2026-07-04,81.2,139.4,42.4,32.0,1.54,26.38,31.9,76.0,0.6,170.0,Moderate,PM2.5
RK Puram,2026-07-05,64.7,122.3,50.3,35.0,1.7,10.67,31.0,82.1,0.4,115.0,Moderate,PM10
RK Puram,2026-07-06,33.7,91.8,34.2,31.4,1.04,43.93,32.8,70.4,0.6,500.0,Severe,CO
